               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.011021,           0.0091732,                   0,             0.99996,                   1,               0.995,             0.87931,            0.011565,           0.0093616,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.010786,           0.0090583,                   0,             0.99995,                   1,               0.995,             0.87844,            0.011656,           0.0095574,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.010933,           0.0090637,                   0,             0.99996,                   1,               0.995,             0.87503,            0.011603,           0.0095473,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.010806,           0.0090704,                   0,             0.99993,                   1,               0.995,             0.87594,            0.011702,           0.0096194,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.010681,           0.0091375,                   0,             0.99995,                   1,               0.995,             0.87855,            0.011601,           0.0095382,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.010668,           0.0090259,                   0,             0.99994,                   1,               0.995,             0.87765,            0.011587,           0.0095544,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.010692,           0.0089077,                   0,             0.99995,                   1,               0.995,             0.87929,             0.01152,           0.0094325,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.010564,           0.0089748,                   0,             0.99997,                   1,               0.995,             0.87896,            0.011424,           0.0093458,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.010404,           0.0088468,                   0,             0.99995,                   1,               0.995,             0.88711,            0.011282,           0.0093168,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.010421,           0.0088451,                   0,             0.99996,                   1,               0.995,             0.87989,            0.011558,           0.0094976,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.010321,           0.0088478,                   0,             0.99996,                   1,               0.995,             0.88393,            0.011443,           0.0094545,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.010297,           0.0088551,                   0,             0.99996,                   1,               0.995,             0.88252,            0.011467,            0.009524,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.010139,           0.0087461,                   0,             0.99997,                   1,               0.995,             0.88421,            0.011455,           0.0094643,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.010059,           0.0087267,                   0,             0.99996,                   1,               0.995,             0.88154,            0.011461,           0.0094736,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.010108,           0.0087084,                   0,             0.99996,                   1,               0.995,             0.88126,            0.011446,           0.0094248,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.00999,           0.0086486,                   0,             0.99996,                   1,               0.995,             0.88312,            0.011432,            0.009491,                   0,            0.004654,            0.004654,            0.004654
                  56,           0.0098925,           0.0085619,                   0,             0.99996,                   1,               0.995,             0.88342,            0.011427,            0.009479,                   0,            0.004555,            0.004555,            0.004555
                  57,           0.0099761,           0.0087342,                   0,             0.99996,                   1,               0.995,             0.88307,            0.011402,           0.0095215,                   0,            0.004456,            0.004456,            0.004456
                  58,           0.0098115,           0.0084971,                   0,             0.99995,                   1,               0.995,             0.88184,            0.011548,           0.0096412,                   0,            0.004357,            0.004357,            0.004357
                  59,           0.0098295,           0.0085086,                   0,             0.99995,                   1,               0.995,             0.88501,             0.01144,           0.0094673,                   0,            0.004258,            0.004258,            0.004258
